mass_A
t	x	y	v
3,336666667E-2	-1,161269450E-2	2,270569628E-1	
6,673333333E-2	-1,161158224E-2	2,270537164E-1	1,267612801E-3
1,001000000E-1	-1,169120705E-2	2,270884524E-1	1,874510549E-3
1,334666667E-1	-1,172195576E-2	2,271125873E-1	4,422009167E-3
1,668333333E-1	-1,189891303E-2	2,272980699E-1	1,767010236E-3
2,002000000E-1	-1,178347419E-2	2,272131867E-1	3,399954835E-3
2,335666667E-1	-1,171916029E-2	2,271596208E-1	2,018958690E-3
2,669333333E-1	-1,168078350E-2	2,271259670E-1	1,253501767E-3
3,003000000E-1	-1,165670777E-2	2,271039695E-1	5,026300807E-4
3,336666667E-1	-1,167809639E-2	2,270925326E-1	4,074833045E-4
3,670333333E-1	-1,167457114E-2	2,270834672E-1	3,398749114E-4
4,004000000E-1	-1,167002861E-2	2,270713350E-1	5,210755565E-4
4,337666667E-1	-1,164149218E-2	2,270727457E-1	6,880653008E-4
4,671333333E-1	-1,162411563E-2	2,270707360E-1	2,761342821E-4
5,005000000E-1	-1,162323531E-2	2,270752465E-1	9,324028107E-5
5,338666667E-1	-1,161947527E-2	2,270748812E-1	1,426886348E-4
5,672333333E-1	-1,161517737E-2	2,270701731E-1	1,732178546E-3
6,006000000E-1	-1,171781261E-2	2,271356410E-1	2,168751498E-3
6,339666667E-1	-1,173972929E-2	2,271438821E-1	2,127521813E-3
6,673333333E-1	-1,184901754E-2	2,271898870E-1	1,083504617E-3
7,007000000E-1	-1,176480923E-2	2,272116990E-1	2,125596381E-3
7,340666667E-1	-1,171277934E-2	2,272293844E-1	2,428711203E-3
7,674333333E-1	-1,166051464E-2	2,270876375E-1	1,221098757E-3
8,008000000E-1	-1,166616499E-2	2,271625458E-1	4,832092793E-4
8,341666667E-1	-1,163694000E-2	2,270656363E-1	1,459007012E-3
8,675333333E-1	-1,161837509E-2	2,270777168E-1	3,021013712E-4
9,009000000E-1	-1,161685952E-2	2,270638449E-1	3,842376169E-4
9,342666667E-1	-1,161620224E-2	2,270521676E-1	1,629486690E-4
9,676333333E-1	-1,161240896E-2	2,270539233E-1	9,342109124E-5
1,001000000E0	-1,160998592E-2	2,270526407E-1	8,279298006E-5
1,034366667E0	-1,160689837E-2	2,270535238E-1	1,006231008E-4
1,067733333E0	-1,160327110E-2	2,270526045E-1	1,354545985E-3
1,101100000E0	-1,152418132E-2	2,270170704E-1	1,934338422E-3
1,134466667E0	-1,148665387E-2	2,269972573E-1	6,800156233E-4
1,167833333E0	-1,148335226E-2	2,269972637E-1	4,863726834E-4
1,201200000E0	-1,151478611E-2	2,270134453E-1	9,696756048E-4
1,234566667E0	-1,154161064E-2	2,270254293E-1	2,199938407E-3
1,267933333E0	-1,165671018E-2	2,270510020E-1	1,612950360E-3
1,301300000E0	-1,164604159E-2	2,270515065E-1	1,350818079E-3
1,334666667E0	-1,173935000E-2	2,270870118E-1	4,543006925E-3
1,368033333E0	-1,193028173E-2	2,271569560E-1	2,601665068E-3
1,401400000E0	-1,190030837E-2	2,271520928E-1	3,432781151E-3
1,434766667E0	-1,177940757E-2	2,269845754E-1	7,084575297E-3
1,468133333E0	-1,235334711E-2	2,270169104E-1	4,573862569E-3
1,501500000E0	-1,205665439E-2	2,271122430E-1	1,830633231E-2
1,534866667E0	-1,117010651E-2	2,267130152E-1	7,827349866E-2
1,568233333E0	-7,606328912E-3	2,243774581E-1	1,662351145E-1
1,601600000E0	-1,505769615E-3	2,212664904E-1	2,375102671E-1
1,634966667E0	7,021299027E-3	2,182741554E-1	3,094963317E-1
1,668333333E0	1,805543098E-2	2,146380925E-1	3,817291448E-1
1,701700000E0	3,116930167E-2	2,101623360E-1	4,542132161E-1
1,735066667E0	4,689825501E-2	2,053183263E-1	5,277080093E-1
1,768433333E0	6,482357272E-2	1,997923511E-1	5,897309724E-1
1,801800000E0	8,473802658E-2	1,945042075E-1	6,516976710E-1
1,835166667E0	1,071683667E-1	1,898779745E-1	7,120445323E-1
1,868533333E0	1,314458435E-1	1,857717900E-1	7,368268205E-1
1,901900000E0	1,561283881E-1	1,853288344E-1	7,621819695E-1
1,935266667E0	1,821826369E-1	1,821917329E-1	7,817247499E-1
1,968633333E0	2,082414033E-1	1,829540098E-1	7,705270635E-1
2,002000000E0	2,335325297E-1	1,848728521E-1	7,559257189E-1
2,035366667E0	2,585048083E-1	1,872356955E-1	7,415975336E-1
2,068733333E0	2,827825465E-1	1,897333277E-1	7,228605120E-1
2,102100000E0	3,065431311E-1	1,916300328E-1	7,011881964E-1
2,135466667E0	3,294472933E-1	1,931903817E-1	7,051274155E-1
2,168833333E0	3,535843674E-1	1,927886694E-1	7,176622452E-1
2,202200000E0	3,773014581E-1	1,912872310E-1	7,264214662E-1
2,235566667E0	4,019150328E-1	1,890309662E-1	7,550202448E-1
2,268933333E0	4,273980906E-1	1,859041633E-1	7,853256337E-1
2,302300000E0	4,539517729E-1	1,828089908E-1	8,205601035E-1
2,335666667E0	4,817312351E-1	1,790905134E-1	8,510914110E-1
2,369033333E0	5,103541369E-1	1,761323231E-1	8,713463551E-1
2,402400000E0	5,396943360E-1	1,744589898E-1	8,896829994E-1
2,435766667E0	5,696910200E-1	1,741048199E-1	9,007434219E-1
2,469133333E0	5,998039361E-1	1,744226418E-1	8,988999852E-1
2,502500000E0	6,296591358E-1	1,755935604E-1	8,992299530E-1
2,535866667E0	6,597511506E-1	1,771364960E-1	9,035421638E-1
2,569233333E0	6,898756160E-1	1,786966229E-1	8,877124656E-1
2,602600000E0	7,189453310E-1	1,794663067E-1	8,796517076E-1
2,635966667E0	7,485658627E-1	1,798757710E-1	8,917176220E-1
2,669333333E0	7,784514802E-1	1,798346655E-1	8,964049691E-1
2,702700000E0	8,083791997E-1	1,789768403E-1	8,989517813E-1
2,736066667E0	8,384280513E-1	1,785630989E-1	9,164408232E-1
2,769433333E0	8,695276489E-1	1,779452052E-1	9,434164926E-1
2,802800000E0	9,013821681E-1	1,779273013E-1	9,366694171E-1
2,836166667E0	9,319973926E-1	1,757852912E-1	9,298674294E-1
2,869533333E0	9,633391305E-1	1,744735169E-1	9,522687320E-1
2,902900000E0	9,954927698E-1	1,731980429E-1	9,753461131E-1
2,936266667E0	1,028358382E0	1,714806372E-1	9,928776767E-1
2,969633333E0	1,061615094E0	1,689594523E-1	1,017148577E0
3,003000000E0	1,096022171E0	1,660958534E-1	1,042658313E0
3,036366667E0	1,130674785E0	1,604656553E-1	1,076995860E0
3,069733333E0	1,166874174E0	1,540331176E-1	1,129122835E0
3,103100000E0	1,204581509E0	1,457878408E-1	1,194915107E0
3,136466667E0	1,244559744E0	1,360462782E-1	1,247422840E0
